Index,Timestamp_s,Label,Value_mmHg
5217,41.736000,dicrotic_notch,75.03
5244,41.952000,diastolic_trough,68.81
5260,42.080000,systolic_peak,140.93
5286,42.288000,dicrotic_notch,74.61
5313,42.504000,diastolic_trough,68.39
5329,42.632000,systolic_peak,141.35
5356,42.848000,dicrotic_notch,74.61
5383,43.064000,diastolic_trough,68.39
5398,43.184000,systolic_peak,139.69
5425,43.400000,dicrotic_notch,75.44
5452,43.616000,diastolic_trough,70.47
5468,43.744000,systolic_peak,144.25
5495,43.960000,dicrotic_notch,77.51
5521,44.168000,diastolic_trough,70.88
5536,44.288000,systolic_peak,145.08
5563,44.504000,dicrotic_notch,76.27
5590,44.720000,diastolic_trough,68.81
5605,44.840000,systolic_peak,142.59
5632,45.056000,dicrotic_notch,74.61
5659,45.272000,diastolic_trough,67.98
5675,45.400000,systolic_peak,140.52
5701,45.608000,dicrotic_notch,74.20
5728,45.824000,diastolic_trough,68.39
5744,45.952000,systolic_peak,143.01
5771,46.168000,dicrotic_notch,75.44
5797,46.376000,diastolic_trough,68.81
5813,46.504000,systolic_peak,144.66
5840,46.720000,dicrotic_notch,76.68
5866,46.928000,diastolic_trough,70.88
5882,47.056000,systolic_peak,146.32
5909,47.272000,dicrotic_notch,77.10
5935,47.480000,diastolic_trough,69.64
5951,47.608000,systolic_peak,144.25
5977,47.816000,dicrotic_notch,74.61
6005,48.040000,diastolic_trough,67.98
6020,48.160000,systolic_peak,140.93
6046,48.368000,dicrotic_notch,74.20
6074,48.592000,diastolic_trough,67.56
6090,48.720000,systolic_peak,141.35
6116,48.928000,dicrotic_notch,74.20
6144,49.152000,diastolic_trough,67.98
6159,49.272000,systolic_peak,143.01
6186,49.488000,dicrotic_notch,75.03
6213,49.704000,diastolic_trough,70.05
6229,49.832000,systolic_peak,145.08
6255,50.040000,dicrotic_notch,77.51
6282,50.256000,diastolic_trough,70.47
6297,50.376000,systolic_peak,145.08
6324,50.592000,dicrotic_notch,75.44
6352,50.816000,diastolic_trough,67.98
6367,50.936000,systolic_peak,141.35
6392,51.136000,dicrotic_notch,73.37
6421,51.368000,diastolic_trough,67.15
6437,51.496000,systolic_peak,139.69
6462,51.696000,dicrotic_notch,73.37
6491,51.928000,diastolic_trough,66.74
6506,52.048000,systolic_peak,140.52
6533,52.264000,dicrotic_notch,73.78
6560,52.480000,diastolic_trough,67.98
6576,52.608000,systolic_peak,142.18
6602,52.816000,dicrotic_notch,75.44
6629,53.032000,diastolic_trough,69.64
6645,53.160000,systolic_peak,143.83
6671,53.368000,dicrotic_notch,75.44
6698,53.584000,diastolic_trough,68.39
6714,53.712000,systolic_peak,140.93
6740,53.920000,dicrotic_notch,72.95
6768,54.144000,diastolic_trough,66.32
6784,54.272000,systolic_peak,138.45
6809,54.472000,dicrotic_notch,72.95
6838,54.704000,diastolic_trough,65.91
6854,54.832000,systolic_peak,138.45
6880,55.040000,dicrotic_notch,72.54
6908,55.264000,diastolic_trough,66.32
6923,55.384000,systolic_peak,139.69
6950,55.600000,dicrotic_notch,74.20
6977,55.816000,diastolic_trough,68.81
6993,55.944000,systolic_peak,142.18
7019,56.152000,dicrotic_notch,75.85
7046,56.368000,diastolic_trough,68.39
7062,56.496000,systolic_peak,140.93
7088,56.704000,dicrotic_notch,73.37
7116,56.928000,diastolic_trough,66.32
7131,57.048000,systolic_peak,137.62
7157,57.256000,dicrotic_notch,72.12
7186,57.488000,diastolic_trough,65.49
7201,57.608000,systolic_peak,137.20
7227,57.816000,dicrotic_notch,72.12
7255,58.040000,diastolic_trough,66.32
7271,58.168000,systolic_peak,138.03
7298,58.384000,dicrotic_notch,73.37
7325,58.600000,diastolic_trough,67.56
7340,58.720000,systolic_peak,140.52
7367,58.936000,dicrotic_notch,75.03
7394,59.152000,diastolic_trough,68.81
7409,59.272000,systolic_peak,141.35
7436,59.488000,dicrotic_notch,73.37
7464,59.712000,diastolic_trough,66.32
7479,59.832000,systolic_peak,137.62
7505,60.040000,dicrotic_notch,72.54
7533,60.264000,diastolic_trough,65.91
7549,60.392000,systolic_peak,135.96
7574,60.592000,dicrotic_notch,72.12
7603,60.824000,diastolic_trough,65.49
7618,60.944000,systolic_peak,136.79
7645,61.160000,dicrotic_notch,72.12
7672,61.376000,diastolic_trough,66.32
7688,61.504000,systolic_peak,138.86
7714,61.712000,dicrotic_notch,73.78
7741,61.928000,diastolic_trough,68.39
7757,62.056000,systolic_peak,140.52
7784,62.272000,dicrotic_notch,74.61
7810,62.480000,diastolic_trough,66.74
7826,62.608000,systolic_peak,138.03
7852,62.816000,dicrotic_notch,72.12
7880,63.040000,diastolic_trough,65.08
7896,63.168000,systolic_peak,135.13
7921,63.368000,dicrotic_notch,71.30
7950,63.600000,diastolic_trough,65.08
7965,63.720000,systolic_peak,135.13
7993,63.944000,dicrotic_notch,70.88
8020,64.160000,diastolic_trough,65.08
8035,64.280000,systolic_peak,135.96
8062,64.496000,dicrotic_notch,72.12
8088,64.704000,diastolic_trough,67.15
